index,year,month,day,big_endian_date,little_endian_date,us_date,title,authors,first_author,second_author,pseudonym_of
3789,2004,4,25,2004-4-25,25/4/2004,4/25/2004,Glorious Appearing,Tim LaHaye and Jerry B. Jenkins,Tim LaHaye,Jerry B. Jenkins,
3790,2004,5,2,2004-5-2,2/5/2004,5/2/2004,Glorious Appearing,Tim LaHaye and Jerry B. Jenkins,Tim LaHaye,Jerry B. Jenkins,
3791,2004,5,9,2004-5-9,9/5/2004,5/9/2004,The Da Vinci Code,Dan Brown,Dan Brown,,
3792,2004,5,16,2004-5-16,16/5/2004,5/16/2004,The Da Vinci Code,Dan Brown,Dan Brown,,
3793,2004,5,23,2004-5-23,23/5/2004,5/23/2004,The Da Vinci Code,Dan Brown,Dan Brown,,
3794,2004,5,30,2004-5-30,30/5/2004,5/30/2004,The Da Vinci Code,Dan Brown,Dan Brown,,
3795,2004,6,6,2004-6-6,6/6/2004,6/6/2004,The Da Vinci Code,Dan Brown,Dan Brown,,
3796,2004,6,13,2004-6-13,13/6/2004,6/13/2004,The Da Vinci Code,Dan Brown,Dan Brown,,
3797,2004,6,20,2004-6-20,20/6/2004,6/20/2004,The Da Vinci Code,Dan Brown,Dan Brown,,
3798,2004,6,27,2004-6-27,27/6/2004,6/27/2004,Song of Susannah,Stephen King,Stephen King,,
3799,2004,7,4,2004-7-4,4/7/2004,7/4/2004,The Da Vinci Code,Dan Brown,Dan Brown,,
3800,2004,7,11,2004-7-11,11/7/2004,7/11/2004,Ten Big Ones,Janet Evanovich,Janet Evanovich,,
3801,2004,7,18,2004-7-18,18/7/2004,7/18/2004,Sam's Letters to Jennifer,James Patterson,James Patterson,,
3802,2004,7,25,2004-7-25,25/7/2004,7/25/2004,The Da Vinci Code,Dan Brown,Dan Brown,,
3803,2004,8,1,2004-8-1,1/8/2004,8/1/2004,"""R"" Is for Ricochet",Sue Grafton,Sue Grafton,,
3804,2004,8,8,2004-8-8,8/8/2004,8/8/2004,The Da Vinci Code,Dan Brown,Dan Brown,,
3805,2004,8,15,2004-8-15,15/8/2004,8/15/2004,The Da Vinci Code,Dan Brown,Dan Brown,,
3806,2004,8,22,2004-8-22,22/8/2004,8/22/2004,The Da Vinci Code,Dan Brown,Dan Brown,,
3807,2004,8,29,2004-8-29,29/8/2004,8/29/2004,The Da Vinci Code,Dan Brown,Dan Brown,,
3808,2004,9,5,2004-9-5,5/9/2004,9/5/2004,The Da Vinci Code,Dan Brown,Dan Brown,,
3809,2004,9,12,2004-9-12,12/9/2004,9/12/2004,The Da Vinci Code,Dan Brown,Dan Brown,,
3810,2004,9,19,2004-9-19,19/9/2004,9/19/2004,The Da Vinci Code,Dan Brown,Dan Brown,,
3811,2004,9,26,2004-9-26,26/9/2004,9/26/2004,Trace,Patricia Cornwell,Patricia Cornwell,,
3812,2004,10,3,2004-10-3,3/10/2004,10/3/2004,Trace,Patricia Cornwell,Patricia Cornwell,,
3813,2004,10,10,2004-10-10,10/10/2004,10/10/2004,The Dark Tower,Stephen King,Stephen King,,
3814,2004,10,17,2004-10-17,17/10/2004,10/17/2004,The Dark Tower,Stephen King,Stephen King,,
3815,2004,10,24,2004-10-24,24/10/2004,10/24/2004,The Dark Tower,Stephen King,Stephen King,,
3816,2004,10,31,2004-10-31,31/10/2004,10/31/2004,Northern Lights,Nora Roberts,Nora Roberts,,
3817,2004,11,7,2004-11-7,7/11/2004,11/7/2004,Northern Lights,Nora Roberts,Nora Roberts,,
3818,2004,11,14,2004-11-14,14/11/2004,11/14/2004,Hour Game,David Baldacci,David Baldacci,,
3819,2004,11,21,2004-11-21,21/11/2004,11/21/2004,Metro Girl,Janet Evanovich,Janet Evanovich,,
3820,2004,11,28,2004-11-28,28/11/2004,11/28/2004,London Bridges,James Patterson,James Patterson,,
3821,2004,12,5,2004-12-5,5/12/2004,12/5/2004,The Da Vinci Code,Dan Brown,Dan Brown,,
3822,2004,12,12,2004-12-12,12/12/2004,12/12/2004,Night Fall,Nelson DeMille,Nelson DeMille,,
